iter	Logloss
0	0.6368369999
1	0.5946956292
2	0.5556700495
3	0.5241801092
4	0.5004089818
5	0.4777503734
6	0.4605347097
7	0.4456629809
8	0.4329925687
9	0.4237092512
10	0.414637833
11	0.407529077
12	0.402091245
13	0.3972820381
14	0.3918612957
15	0.3878206458
16	0.3850398619
17	0.3824940347
18	0.380304039
19	0.3779150368
20	0.375711682
21	0.3736257114
22	0.3718157602
23	0.3705321607
24	0.3691596263
25	0.3679177653
26	0.3667924703
27	0.3656917268
28	0.364957775
29	0.3640122119
30	0.3632775795
31	0.3627098691
32	0.3621497097
33	0.361666343
34	0.3610612168
35	0.3604717856
36	0.3599355393
37	0.3594480624
38	0.359046731
39	0.3585193586
40	0.3582594275
41	0.3578342614
42	0.3574557153
43	0.3570388607
44	0.3566834397
45	0.3563885403
46	0.3559834984
47	0.3556222892
48	0.3553308532
49	0.3550826114
50	0.3548975312
51	0.3545311286
52	0.3542847118
53	0.3540642625
54	0.3537325874
55	0.3534950601
56	0.3532314403
57	0.3529546827
58	0.3527536189
59	0.3525104071
60	0.3522922799
61	0.3520921788
62	0.351922048
63	0.3517526602
64	0.3516334966
65	0.3514099226
66	0.3511927125
67	0.3509959802
68	0.3507739072
69	0.3506006372
70	0.3504259789
71	0.3502165731
72	0.350069223
73	0.3498704637
74	0.3497401497
75	0.3496008929
76	0.3493686541
77	0.3491503194
78	0.3489919248
79	0.3488078358
80	0.3485863813
81	0.3484112325
82	0.3482725017
83	0.3481226703
84	0.3480035154
85	0.3478365405
86	0.3476531269
87	0.347483233
88	0.3472933199
89	0.347142887
90	0.3469702834
91	0.346829722
92	0.3467237729
93	0.3466047052
94	0.3463785278
95	0.3462279749
96	0.3461128595
97	0.3459985824
98	0.3458459788
99	0.3457478485
100	0.3456326703
101	0.3455419464
102	0.3453815483
103	0.3452230243
104	0.3450780777
105	0.3448972059
106	0.3447724222
107	0.3446407005
108	0.3445093235
109	0.3443966038
110	0.3442385872
111	0.3441020342
112	0.344026698
113	0.3439029857
114	0.3437808142
115	0.3436214923
116	0.3435191691
117	0.3434246042
118	0.3433033122
119	0.3431817517
120	0.3430124855
121	0.3429032794
122	0.3427907007
123	0.3426733064
124	0.3425348779
125	0.3424683723
126	0.3423722624
127	0.3422257064
128	0.3421277306
129	0.3420002101
130	0.3418549704
131	0.3417092931
132	0.3416156033
133	0.3415357395
134	0.3414344141
135	0.3412739102
136	0.3411670963
137	0.3410852165
138	0.3409997865
139	0.3409413808
140	0.3407884453
141	0.3406301771
142	0.3405466137
143	0.3403943972
144	0.3402930604
145	0.3402034407
146	0.3401159763
147	0.3399825189
148	0.339889086
149	0.339759077
150	0.3396026785
151	0.3394776208
152	0.3393436613
153	0.3392081191
154	0.3390753176
155	0.3389622409
156	0.338884812
157	0.3387501941
158	0.3385880432
159	0.3384764001
160	0.3383896731
161	0.3382625045
162	0.3381671412
163	0.3380520494
164	0.3379056273
165	0.3378325847
166	0.3376884373
167	0.3375984591
168	0.3375093841
169	0.3374062213
170	0.3373164859
171	0.3372260377
172	0.3370959131
173	0.3369841441
174	0.3368503212
175	0.3367177492
176	0.3366205297
177	0.3364982523
178	0.3363379812
179	0.3362513488
180	0.3361433896
181	0.3360377995
182	0.3359336573
183	0.3357554115
184	0.3356137528
185	0.3355061298
186	0.3353873798
187	0.3352823988
188	0.3352208541
189	0.3351176558
190	0.3349950113
191	0.3349026108
192	0.3347682191
193	0.3346760412
194	0.3345607914
195	0.3344328792
196	0.334282572
197	0.3341691382
198	0.3340508083
199	0.3339206841
200	0.3337767257
201	0.3336554649
202	0.3335547475
203	0.3334820699
204	0.3333439983
205	0.3332819567
206	0.3332023077
207	0.3331098352
208	0.3330032913
209	0.3329409636
210	0.3328840691
211	0.3327738171
212	0.3327148399
213	0.332612442
214	0.3325077602
215	0.33241164
216	0.332353958
217	0.3322554945
218	0.3321541615
219	0.3320180064
220	0.3319282484
221	0.3318136402
222	0.3317174978
223	0.3316243822
224	0.3315251388
225	0.3314242464
226	0.3313096589
227	0.3311884742
228	0.3311066202
229	0.330993165
230	0.3308560171
231	0.3307790913
232	0.3306670446
233	0.3305974841
234	0.3305152269
235	0.3304238616
236	0.3303136145
237	0.3302629519
238	0.3302001151
239	0.3300743266
240	0.3299922991
241	0.3298989049
242	0.3298195877
243	0.32973768
244	0.3296535182
245	0.3295495799
246	0.3294498516
247	0.329385123
248	0.3292949409
249	0.329227115
250	0.3291597013
251	0.3290567063
252	0.3289968092
253	0.3289078915
254	0.3288114499
255	0.3286890936
256	0.3285746021
257	0.3284943845
258	0.328408586
259	0.3282971083
260	0.328207935
261	0.3281603277
262	0.3280731999
263	0.3279808429
264	0.3278966489
265	0.3278075397
266	0.3277126135
267	0.3276283433
268	0.327540691
269	0.3274284052
270	0.327364801
271	0.3272800664
272	0.3271993815
273	0.327101659
274	0.3270240934
275	0.3269115975
276	0.3267993019
277	0.3267673697
278	0.3266909327
279	0.3265754199
280	0.3264724537
281	0.3263543614
282	0.326264876
283	0.3261872551
284	0.3261180408
285	0.3260505314
286	0.325983001
287	0.3259280915
288	0.3258206584
289	0.3257783972
290	0.3257216937
291	0.3256653481
292	0.3255661267
293	0.3254732644
294	0.3254306074
295	0.325325462
296	0.3252531549
297	0.3251969371
298	0.3251185779
299	0.3250342626
300	0.3249282895
301	0.3248345199
302	0.3247600314
303	0.3247042293
304	0.3246320097
305	0.3245505925
306	0.3244803825
307	0.3244413165
308	0.3243991584
309	0.3243334988
310	0.3242609163
311	0.3241627747
312	0.3241031384
313	0.3239940847
314	0.3239156993
315	0.3238522618
316	0.3237698746
317	0.3237061387
318	0.3236384899
319	0.3235643603
320	0.3234921971
321	0.3234103692
322	0.3233341562
323	0.3232597446
324	0.3231828208
325	0.3230813964
326	0.3230305418
327	0.3229411075
328	0.3228461315
329	0.3228091013
330	0.3227289642
331	0.3226664007
332	0.322616848
333	0.322522135
334	0.3224464388
335	0.3223946697
336	0.3223425121
337	0.3222817374
338	0.3222388144
339	0.3221738594
340	0.3220533541
341	0.3219822948
342	0.3218798021
343	0.3218299891
344	0.3217583316
345	0.3216726171
346	0.3215689132
347	0.3214923141
348	0.3214413234
349	0.3213317617
350	0.3212433699
351	0.3212080962
352	0.3211267679
353	0.3210234392
354	0.3209627113
355	0.3208890866
356	0.320818506
357	0.3207519946
358	0.320723793
359	0.3206339543
360	0.320590735
361	0.3205009612
362	0.3204436005
363	0.3203809099
364	0.3203213316
365	0.3202685674
366	0.3202160104
367	0.3201423173
368	0.3200456091
369	0.3199942035
370	0.3199589589
371	0.3198961777
372	0.3198316283
373	0.3197644029
374	0.3196899999
375	0.3196112558
376	0.3195765602
377	0.3195320309
378	0.3194737547
379	0.3194139727
380	0.3193837554
381	0.3193235511
382	0.3192614668
383	0.3191938949
384	0.3191269375
385	0.3190640298
386	0.31899543
387	0.3189153469
388	0.3188380294
389	0.318786706
390	0.3186953303
391	0.3186576578
392	0.31861892
393	0.3185603093
394	0.3184763977
395	0.3183987464
396	0.3183057052
397	0.3182439869
398	0.3181735565
399	0.3181138424
400	0.3180504971
401	0.3179930904
402	0.3179499344
403	0.3178787326
404	0.317783979
405	0.317683088
406	0.3176170442
407	0.3175241432
408	0.3174527025
409	0.3173911105
410	0.3173194667
411	0.3172544452
412	0.3172060741
413	0.317129278
414	0.3170914963
415	0.3170230116
416	0.3169652199
417	0.316911591
418	0.316855262
419	0.3168356935
420	0.3167618196
421	0.3167026483
422	0.3166206438
423	0.3165448832
424	0.3164744841
425	0.3164202673
426	0.3163978641
427	0.3163033121
428	0.3162483508
429	0.3161709157
430	0.3161238329
431	0.3160353572
432	0.3159873771
433	0.3159218438
434	0.315844539
435	0.3157700873
436	0.315726134
437	0.3156289997
438	0.3155853628
439	0.3155287766
440	0.3154854956
441	0.315427156
442	0.3153362058
443	0.3152479433
444	0.3152048638
445	0.3151123364
446	0.315059766
447	0.3149798855
448	0.3148864064
449	0.3148278534
450	0.3147815223
451	0.3147190418
452	0.3146546533
453	0.3145851533
454	0.3145420419
455	0.3145049932
456	0.3144541585
457	0.3143966994
458	0.3143245887
459	0.3142782937
460	0.3141849338
461	0.314117383
462	0.3140857326
463	0.3140070098
464	0.3139334224
465	0.3138490071
466	0.3137927555
467	0.3137280552
468	0.3136646333
469	0.3136114409
470	0.3135351051
471	0.3134827461
472	0.3134312808
473	0.3133691344
474	0.3133349644
475	0.3132482704
476	0.3131718679
477	0.3131118584
478	0.3130077393
479	0.3129271991
480	0.3128493898
481	0.3127853568
482	0.3127354551
483	0.3126996217
484	0.3126558722
485	0.3125833649
486	0.312536922
487	0.3124927683
488	0.3124335049
489	0.3123897618
490	0.3123282485
491	0.3122618269
492	0.3122104353
493	0.3121582039
494	0.3120920023
495	0.3120176004
496	0.3119438177
497	0.3119010696
498	0.3118309594
499	0.3117744408
500	0.3117228639
501	0.311671548
502	0.3116390172
503	0.3115882276
504	0.3115030002
505	0.3114391639
506	0.3113741958
507	0.3112901752
508	0.3112215051
509	0.3111838906
510	0.3111221525
511	0.3110004512
512	0.3109136818
513	0.3108465415
514	0.3108221723
515	0.310759228
516	0.3107148111
517	0.3106423987
518	0.3105952765
519	0.3105576944
520	0.3105153463
521	0.3104457218
522	0.3104031838
523	0.3103553239
524	0.3103013174
525	0.3102214511
526	0.3101560526
527	0.3101041884
528	0.3100472394
529	0.3099871783
530	0.3099371217
531	0.3098864512
532	0.3098519235
533	0.3097909389
534	0.3097433758
535	0.3096839536
536	0.3096108419
537	0.3095514102
538	0.3094836247
539	0.3094349949
540	0.3093999605
541	0.3093596895
542	0.3092956874
543	0.3092354561
544	0.30920015
545	0.3091526467
546	0.3090730159
547	0.3089971452
548	0.3089274033
549	0.3088631209
550	0.308813695
551	0.3087551849
552	0.308696372
553	0.3086212574
554	0.3085752829
555	0.3085222726
556	0.3084219305
557	0.308369942
558	0.3083124163
559	0.3082409186
560	0.3081749066
561	0.3081356385
562	0.3080870343
563	0.308028567
564	0.3079835126
565	0.3078999564
566	0.3078552718
567	0.3078131623
568	0.3077557807
569	0.3077138898
570	0.3076755652
571	0.3076042565
572	0.3075562493
573	0.3075127649
574	0.3074513894
575	0.3073951895
576	0.3073282671
577	0.3073038612
578	0.307232238
579	0.3071563034
580	0.3071195017
581	0.3070638648
582	0.3070156692
583	0.3069620471
584	0.3069176459
585	0.3068553813
586	0.3068018139
587	0.3067494959
588	0.3066935495
589	0.3066528891
590	0.3066186348
591	0.3065816018
592	0.3065170464
593	0.3064669078
594	0.3064003599
595	0.3063347241
596	0.3062787407
597	0.3062286658
598	0.3061598329
599	0.306110703
600	0.306069233
601	0.3060128957
602	0.3059392642
603	0.3058734888
604	0.3058095051
605	0.3057568143
606	0.3056939875
607	0.3056067819
608	0.3055548893
609	0.3055053068
610	0.3054548315
611	0.3053978135
612	0.3053435807
613	0.3052661852
614	0.3052336524
615	0.3051809848
616	0.3051359376
617	0.30508762
618	0.3049877087
619	0.3049189254
620	0.304863723
621	0.3047946071
622	0.304741005
623	0.3047023699
624	0.3046619346
625	0.3046154704
